Iteracoes 16600000: pi ~= 3.141592593349, pi = 3.141592653590, diferenca absoluta = 6.024096599333e-08, tempo medio = 44.484437 ms (1 execucoes)
Iteracoes 16700000: pi ~= 3.141592593710, pi = 3.141592653590, diferenca absoluta = 5.988021500869e-08, tempo medio = 44.700969 ms (1 execucoes)
Iteracoes 16800000: pi ~= 3.141592594066, pi = 3.141592653590, diferenca absoluta = 5.952380721652e-08, tempo medio = 44.986192 ms (1 execucoes)
Iteracoes 16900000: pi ~= 3.141592594418, pi = 3.141592653590, diferenca absoluta = 5.917158318880e-08, tempo medio = 45.106592 ms (1 execucoes)
Iteracoes 17000000: pi ~= 3.141592594766, pi = 3.141592653590, diferenca absoluta = 5.882352915876e-08, tempo medio = 45.502537 ms (1 execucoes)
Iteracoes 17100000: pi ~= 3.141592595110, pi = 3.141592653590, diferenca absoluta = 5.847948481019e-08, tempo medio = 45.834929 ms (1 execucoes)
Iteracoes 17200000: pi ~= 3.141592595450, pi = 3.141592653590, diferenca absoluta = 5.813949188749e-08, tempo medio = 45.923527 ms (1 execucoes)
Iteracoes 17300000: pi ~= 3.141592595786, pi = 3.141592653590, diferenca absoluta = 5.780344336515e-08, tempo medio = 46.365501 ms (1 execucoes)
Iteracoes 17400000: pi ~= 3.141592596119, pi = 3.141592653590, diferenca absoluta = 5.747124554034e-08, tempo medio = 46.749550 ms (1 execucoes)
Iteracoes 17500000: pi ~= 3.141592596447, pi = 3.141592653590, diferenca absoluta = 5.714283712877e-08, tempo medio = 47.034124 ms (1 execucoes)
Iteracoes 17600000: pi ~= 3.141592596772, pi = 3.141592653590, diferenca absoluta = 5.681812842440e-08, tempo medio = 47.413205 ms (1 execucoes)
Iteracoes 17700000: pi ~= 3.141592597093, pi = 3.141592653590, diferenca absoluta = 5.649716161571e-08, tempo medio = 47.520940 ms (1 execucoes)
Iteracoes 17800000: pi ~= 3.141592597410, pi = 3.141592653590, diferenca absoluta = 5.617978526828e-08, tempo medio = 47.735390 ms (1 execucoes)
Iteracoes 17900000: pi ~= 3.141592597724, pi = 3.141592653590, diferenca absoluta = 5.586592699558e-08, tempo medio = 47.850467 ms (1 execucoes)
